,ds,RSI_14_SPY,BBP_5_2.0_SPY,ZSCORE_20_SPY,KC_CHANNEL_20_2_SPY,OBV_MA_Ratio_SPY,CCI_14_SPY,SPY,y,unique_id
178,2024-10-02,0.578112,0.660952,0.295208,0.662332,0.000504,-0.001862,568.86,3.440345590549148,0
179,2024-10-01,0.575748,0.674131,0.302942,0.665421,-0.003224,0.125239,568.62,3.4354908325614706,0
180,2024-09-30,0.647961,0.822992,0.524791,0.903391,0.005773,0.257695,573.76,3.4840384124382453,0
181,2024-09-27,0.628694,0.790181,0.476669,0.852194,-0.000569,0.282876,571.47,3.474614470462166,0
182,2024-09-26,0.640491,0.841376,0.55078,0.908528,0.005153,0.31532,572.3,3.494033502412876,0
183,2024-09-25,0.622585,0.814613,0.488355,0.851936,0.000513,0.275513,570.04,3.467974874979019,0
184,2024-09-24,0.639064,0.877893,0.564227,0.915606,0.005527,0.302145,571.3,3.4647621674871734,0
185,2024-09-23,0.627211,0.866592,0.505931,0.880835,0.001985,0.330154,569.67,3.468155094502609,0
186,2024-09-20,0.617038,0.85089,0.467442,0.845382,-0.001102,0.338851,568.25,3.476723823849597,0
187,2024-09-19,0.648638,0.988042,0.568697,0.961961,0.009802,0.470609,570.98,3.4664413486332117,0
188,2024-09-18,0.57826,0.686201,0.273823,0.709134,0.005461,0.306402,561.4,3.5555561338418866,0
189,2024-09-17,0.597636,0.75972,0.329462,0.791127,0.015975,0.334832,563.07,3.53841867514791,0
190,2024-09-16,0.595905,0.763135,0.332911,0.807421,0.016125,0.294285,562.84,3.5401324210173084,0
191,2024-09-13,0.589992,0.753895,0.335543,0.794114,0.015433,0.280817,562.01,3.5229949623233323,0
192,2024-09-12,0.569408,0.654744,0.284774,0.719896,0.013032,0.107025,559.09,3.536704929278513,0
193,2024-09-11,0.53472,0.489523,0.178664,0.598591,0.00772,-0.182147,554.42,3.571217739679984,0
194,2024-09-10,0.4886,0.309085,0.048784,0.43468,-0.002275,-0.325121,548.79,3.4953052276741023,0
195,2024-09-09,0.467896,0.290434,-0.007349,0.353373,-0.008009,-0.466398,546.41,3.463293927430658,0
196,2024-09-06,0.411674,0.16788,-0.15686,0.146347,-0.014111,-0.732511,540.36,3.419316498286688,0
197,2024-09-05,0.484326,0.437381,0.075663,0.397656,-0.008906,-0.552846,549.61,3.5134449644787202,0
198,2024-09-04,0.496104,0.507303,0.115822,0.432821,-0.004692,-0.479781,550.95,3.510167617072844,0
199,2024-09-03,0.505734,0.552761,0.141124,0.464787,-7.9e-05,-0.17588,552.08,3.519313702856685,0
200,2024-08-30,0.620554,0.762411,0.425176,0.868059,0.007755,0.243904,563.68,3.629524036551971,0
201,2024-08-29,0.579855,0.703421,0.314544,0.718084,0.001664,0.183198,558.35,3.5867660855125143,0
202,2024-08-28,0.579462,0.718848,0.32165,0.737286,-0.002378,0.162613,558.3,3.5920250848382227,0
203,2024-08-27,0.61424,0.783674,0.408019,0.873908,0.0017,0.22932,561.56,3.6248406452006012,0
204,2024-08-26,0.609094,0.797317,0.380814,0.867896,-0.001475,0.26093,560.79,3.6354746847755837,0
205,2024-08-23,0.622512,0.84773,0.41342,0.93483,0.003629,0.286753,562.13,3.609074857270357,0
206,2024-08-22,0.585078,0.770532,0.26659,0.787916,0.000137,0.281403,556.22,3.5703520882520503,0
207,2024-08-21,0.628141,0.88319,0.378865,0.958902,0.009038,0.348734,560.62,3.627872317958856,0
208,2024-08-20,0.61671,0.889245,0.328407,0.943347,0.00833,0.392183,558.7,3.6170073856809037,0
209,2024-08-19,0.625168,0.925745,0.356498,0.989927,0.016515,0.399942,559.61,3.6103157596863515,0
210,2024-08-16,0.595139,0.82699,0.226279,0.871513,0.017513,0.374098,554.31,3.6567110332485804,0
